semester,course_letter,course_number,course_title,unique_number,instructor_name,id
"2018, Fall",AAS,310,"Race, Immigration, and Family.",32150,"Gunasena, Natassja",8871289
"2018, Fall",AAS,310,Asian American Film History.,32155,"Nault, Curran",8871292
"2018, Fall",AAS,312,Introduction to Asian American History.,32160,"Hsu, Madeline",8848611
"2018, Fall",AAS,314,Asian American Literature and Culture.,32165,"Mishra, Amrita",8921377
"2018, Fall",AAS,314,Asian American Literature and Culture.,32167,"Shingavi, Snehal",8921097
"2018, Fall",AAS,320,Indian Cinema.,32175,"Kumar, Shanti",8913823
"2018, Fall",AAS,320,Asian American Media Cultures.,32180,"Mallapragada, Madhavi",8915426
"2018, Fall",AAS,320,Documenting Difference.,32188,"Nault, Curran",8871298
"2018, Fall",AAS,325,South Asian Migration to the United States.,32189,"Bhalodia, Aarti",8879002
"2018, Fall",AAS,330,Anthropology of the Himalayas.,32190,"Hindman, Heather",8869415
"2018, Fall",AAS,330,The Sociology of Race and Work.,32195,"Bhalodia, Aarti",8879004
"2018, Fall",ACC,151,Accounting Careers Exploration.,02440,"Smith, Stephen",8858583
"2018, Fall",ACC,152,Master in Professional Accounting Distinguished Speaker Lyceum.,02445,"Smith, Stephen",8859192
"2018, Fall",ACC,280K,Financial Statement Analysis.,02560,"Badolato, Patrick",8858621
"2018, Fall",ACC,287,Introduction to Managerial Accounting.,02800,"McGuire, John",9032743
"2018, Fall",ACC,310F,Foundations of Accounting.,02265,"Verduzco, David",8858624
"2018, Fall",ACC,310F,Foundations of Accounting.,02270,"Verduzco, David",9031801
"2018, Fall",ACC,310F,Foundations of Accounting.,02275,"Verduzco, David",9031827
"2018, Fall",ACC,310F,Foundations of Accounting.,02280,"Wang, May",8858625
"2018, Fall",ACC,310F,Foundations of Accounting.,02285,"Wang, May",9031830
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02290,"Allen, Megan",8851121
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02295,"Kamas, J",8858629
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02300,"Kamas, J",9031842
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02305,"Spiller, William",8851119
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02310,"Spiller, William",9031834
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02315,"Smith, Stephen",8858631
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02320,"Kamas, J",9031838
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02325,8858627
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02330,"Spiller, William",9031843
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02335,"Smith, Stephen",9031840
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02340,"Johnston-Blair, Donna",8851124
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02345,9031847
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02350,"Johnston-Blair, Donna",9031832
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02355,9031853
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02356,"Roy Bardhan, Anindita",9031850
"2018, Fall",ACC,311,Fundamentals of Financial Accounting.,02357,"Roy Bardhan, Anindita",8863616
"2018, Fall",ACC,311H,Fundamentals of Financial Accounting: Honors.,02360,"Charrier, Gretchen",8858634
"2018, Fall",ACC,311H,Fundamentals of Financial Accounting: Honors.,02365,"Charrier, Gretchen",9031860
"2018, Fall",ACC,311H,Fundamentals of Financial Accounting: Honors.,02370,"Charrier, Gretchen",9031855
"2018, Fall",ACC,312,Fundamentals of Managerial Accounting.,02375,"Lendecky, Brian",8861989
"2018, Fall",ACC,312,Fundamentals of Managerial Accounting.,02380,"Lendecky, Brian",9031863
"2018, Fall",ACC,312,Fundamentals of Managerial Accounting.,02385,"Lendecky, Brian",9031865
"2018, Fall",ACC,312,Fundamentals of Managerial Accounting.,02390,"Lendecky, Brian",9031864
"2018, Fall",ACC,326,Financial Accounting--Intermediate.,02395,"Guler, Lale",8862012
"2018, Fall",ACC,326,Financial Accounting--Intermediate.,02400,"Moore, Stephen",8851128
"2018, Fall",ACC,326,Financial Accounting--Intermediate.,02405,"Moore, Stephen",9031866
"2018, Fall",ACC,326,Financial Accounting--Intermediate.,02410,"Donelson, Dain",8851126
"2018, Fall",ACC,326,Financial Accounting--Intermediate.,02415,"Guler, Lale",9031867
"2018, Fall",ACC,327,Financial Statement Analysis.,02420,"Zhao, Wuyang",8851133
"2018, Fall",ACC,327,Financial Statement Analysis.,02425,"Zhao, Wuyang",9031868
"2018, Fall",ACC,329,Managerial Accounting and Control.,02430,"Atiase, Rowland",8863611
"2018, Fall",ACC,329,Managerial Accounting and Control.,02435,"Atiase, Rowland",9031884
"2018, Fall",ACC,355,Introduction to Taxation.,02450,"Williams, Braden",8851135
"2018, Fall",ACC,355,Introduction to Taxation.,02455,"Williams, Braden",9031932
"2018, Fall",ACC,355,Introduction to Taxation.,02460,"Williams, Braden",9031907
"2018, Fall",ACC,356,Financial Accounting Concepts and Research.,02465,"Toynbee, Sara",8851137
"2018, Fall",ACC,356,Financial Accounting Concepts and Research.,02470,"Toynbee, Sara",9032008
"2018, Fall",ACC,356,Financial Accounting Concepts and Research.,02475,"Toynbee, Sara",9031961
"2018, Fall",ACC,356,Financial Accounting Concepts and Research.,02480,"Badolato, Patrick",8858639
"2018, Fall",ACC,356,Financial Accounting Concepts and Research.,02485,"Badolato, Patrick",9031985
"2018, Fall",ACC,358C,Auditing and Other Assurance Services.,02490,"Johanns, Jeffrey",8851145
